title,local,company_name,salary,description
Data Scientist Partner Services, Los Angeles CA, Factual,$159.000,At Factual we love all things data Our mission is to organize and interpret the worlds location information As a Data Scientist on our Partner Services team you will have the opportunity to work directly with our customers to query filter aggregate analyze explain and visualize what is happening in the physical world About you You are a data scientist who knows the tools and algorithms to analyze data and understands how to find its shape and underlying structure Working on the Partner Services team youll apply analytics to bridge the gap between Factuals established products and the huge variety of questions were trying to answer You are a skilled communicator that will provide compelling and appropriate explanation and guidance to critical existing and potential customers You have strong engineering experience and enjoy working in a rapidly changing environment And most of all you ship What youll do Analyze interpret and solve a range of location data problems Design experiments and work with fellow engineers to ensure thoroughness and correctness on a variety of analyses Use and provide feedback to our data processing software and frameworks Develop visualizations based on bespoke data analysis challenges Author specifications and lead technical projects Propose creative strategies based on datadriven insights What were looking for Deep understanding of machine learning concepts and algorithms  particularly classification clustering and supervised learning Expertise with PythonScalaJava Familiarity with distributed programming with Spark or MapReduce Applied knowledge of Statistics we really value people who can handle uncertainty and variance Willingness and ability to wrangle messy data An advanced degree in a quantitative field Math Statistics Computer Science Excellent oral and written communication skills Industry experience maintaining production data pipelines and using data science to solve business problems is a plus Cover letters will be greatly appreciated Thanks
Data Scientist, Atlanta GA, Norfolk Southern Corp,$122.000,Requisition 10090 Data Scientist Job Description Join a growing Data Science and Advanced Analytics team at Norfolk Southern Corporation The team is using latest cutting edge tools and technologies to develop analytics and solutions to solve business problems from various fields such as engineering mechanical communications marketing  finance Principal Duties  Effectively utilize statistical data mining and machine learning techniques and computer science skills in delivering advanced analytics and decision support systems  Collaborates with various departments to identify opportunities for process improvement and developing analytics usecases Job Related Experience Minimum Level 1 year preferred Level 2 years of relevant experience eg analysist statistician data scientist team lead or proven qualifications Education Preferred Level PhD and MS Preferred Majors Computer and Information Sciences Electrical Engineering Engineering – Statistics Engineering  Operations Research Engineering  Systems Engineering Mathematical Sciences  Applied Mathematics Physics Licenses  Certifications Required None listed Preferred None listed Technical Skills  Advanced machine learning techniques and algorithms eg gradient boosting random forests neural networks SVMs  Advanced statistical techniques eg Bayesian sampling and experimental design  Excellent knowledge in R andor Python  Knowledge of big data and Hadoopstack technologies especially Spark preferably pyspark and Hive  Knowledge of SQL and relational databases  Experience with sensorsignal data is a plus  Experience with image processing and Deep Learning is a plus Skills and Abilities  Planning and Organizing  Identifying and Considering Alternatives  Analytical Thinking  Communication Skills  Initiative Work Conditions Company Overview Norfolk Southern Corporation NYSE NSC is one of the nation’s premier transportation companies Its Norfolk Southern Railway Company subsidiary operates approximately 19500 route miles in 22 states and the District of Columbia serves every major container port in the eastern United States and provides efficient connections to other rail carriers Norfolk Southern operates the most extensive intermodal network in the East and is a major transporter of coal automotive and industrial products We are a team of more than 28000 employees working together to maintain our reputation as The Thoroughbred of Transportation As an industry leader Norfolk Southern offers a competitive salary and an excellent benefits package Norfolk Southern is an equal opportunity employer including veterans and disabled
Data Scientist, San Mateo CA, Rakuten,$127.000,Rakuten Inc is the largest ecommerce company in Japan and third largest ecommerce marketplace worldwide Rakuten seeks to empower merchants to deliver Omotenashi a hospitality mindset which helps sellers create lasting relationships with customers At Rakuten we offer competitive salaries benefits annual bonuses a stocked kitchen including catered breakfast and lunch daily and a dynamic office environment in San Mateo CA We love investing in our people and when it comes down to it we think our entire team is pretty awesome As a technology focused company we understand the importance of an energizing atmosphere that promotes collaboration and innovation The Role Working as part of the Global Data Office you will be part of the team that provides data science solutions and data platform services at global scale Leveraging diversity of data sources owned by Rakuten group companies you will deliver technology to effectively collect manage and provide groupwide data You will proactively identify business needs from various companies and implement advanced analytics solutions to create business value Responsibilities · Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions · Retrieve data required for analyses from internalexternal sources while ensuring data quality · Perform statistical analyses and build machinelearning models to deliver insights · Prioritize data science solutions development opportunities to create maximum business value · Build and test solution prototypes to demonstrate potential value to management · Standardize and implement solutions across Rakuten group in an efficient scalable manner · Collaborate with business managers engineers and RD teams to effectively identify new opportunities and systemize development operationsprocess · Follow trends in modern technology AI and propose innovative approaches Minimum Qualifications · Masters in Computer Science Mathematics Statistics or related field · 2 years of experience as a data scientist · Experience building endtoend data pipeline solutions · Solid background in SQL and a statistical computer language Python R · Knowledge of a variety of machine learning techniques GLMregression decision tree learning boosting deep neural networks text mining etc and their advantagesdrawbacks · Ability to identify summarize and visualize business issues · Selfmotivated teamoriented responsible and reliable with a positive attitude and strong communication skills Preferred Qualifications · PhD in Computer Science Physics Mathematics Statistics Engineering or relevant field · Vast experience in industry application of statistics for data analysis hypothesis testing Bayesian analysis time series analysis experimental design power and sample sizes etc · Experience with big data tools Hadoop Hive etc
Data Scientist, Boston MA, Akili Interactive,NA,The job Akili is seeking a hungry Data Scientist to join our innovative data research team This is a unique opportunity to play a key role in unleashing the value of novel rich behavioral data from our gamified cognitive treatments and assessments to improve patient outcomes Heres what it entails You will conduct statistical analyses on behavioral data to evaluate studyexperiment results and inform product development Develop and implement algorithms underlying everything from targeted treatment interactions to rapid insight delivery Be an impactful part of a highenergy team focused on delivering a new paradigm in mobile health Heres what you need A degree in statistics software engineering or computer science 5 years of experience analyzing data Demonstrable experience applying statistical analysis to experimental results in a scientific psychological or user behavior context Demonstrable experience producing presentations and reports especially authorship on journal publications and abstracts Demonstrable competency with one or more programing languages especially Scala Python or Julia ideally in the form of working examples of programs with accompanying source code Demonstrable experience using statistical analysis software preferably R Familiarity with Bayesian approaches to inference and hypothesis testing Familiarity with a broad range of machine learning techniques for predictive modeling Experience with some the following tools and technologies SQL Cassandra Elasticsearch Apache Spark Zeppelin Jupyter WebVisualization packages such as D3js Chartjs Matplotlib or similar Akili  The company Akili Interactive wwwakiliinteractivecom is creating an entirely new class of medicine that combines rigorous scientific validation with engaging video game mechanics We are pioneering the field of digital therapeutics creating producing and validating digital medicines designed to directly treat disease Akilis flagship product Project EVO is based on technology developed at UCSF that was featured as the cover article in Nature under the headline Game Changer Akili was founded by leading neuroscientists and toptier game design veterans to create gaming experiences that are designed to have measurable health impacts in multiple patient populations Akili has partnerships with top pharmaceutical companies and has received recent recognition in major media outlets including the Wall Street Journal CNBC Fast Company and The Verge
Data Scientist, Portland OR, Swift Agency,$134.000,Swift is seeking a Data Scientist to join our growing team in Portland Oregon Here you will find a dynamic environment working with opportunities to influence the evolution of digital and social analytics for some of the worlds most beloved brands Our Data and Marketing Sciences teams work closely with our Strategic Planning Creative and Account Management teams to deliver exceptional resultsdriven work Who you are You are intellectually curious and always up for a good challenge You get a rush from solving problems and working with numbers and ideas comes easily to you Always keenly observant and cant help by try to understand what makes the world click you are hacker and maker driven to create You are someone who challenges whats possible What youll do Data Scientists mine datasets both big and small to uncover hidden consumer needs identify emerging social trends and surface meaningful insights for our clients As a Data Scientist you will be a driving force in the blending of art and science to bring insights to life through storytelling Your audience includes internal creative and planning teams as well as our clients Be a core member of our Data Science team working with Creative and Strategic Planning to turn deep consumer insights into amazing consumer experiences Apply open source tools to capture process analyze and visualize proprietary and public data in new ways to tell compelling and meaningful stories Work with the leadership of our data science team to evaluate new tools and processes developing new intellectual property for the agency outline procedures for applying or implementation of best practices and case studies What youll need 12 years of relevant experience we love hearing about the projects youve hacked at work and in your spare time with special preference to amazing Github profiles An obsession for solving problems with data Strong analytic and critical thinking skills with an eye for detail Experience in more than one of the following Programming Python R SQL Presto Data Visualization Tableau D3Js etc Relational or NoSQL Databases MongoDB Redshift etc Infrastructure as a Service AWS Azure or Google Sensors and Hardware Raspberry Pi Arduino Machine Learning Tensorflow scikitlearn Good understanding of and interest in advertising technology and landscape including external data providers and data management platforms Able to run a project from start to finish while targeting aggressive timelines Strong written and verbal communication skills with the ability to be flexible and thrive in a rapidlyevolving environment Bachelors degree BA or BS from a fouryear college or commensurate work experience is highly preferred Who we are Swift is a strategic creative agency that lives and breathes digital leading brands forward with a groundbreaking combination of insights and ideas We are hyperfocused on delivering campaigns that get results Our client roster includes Starbucks Google Carters adidas and YouTube What We Offer Swift offers competitive salaries and comprehensive benefits including nocost medical insurance for employees generous paid parental leave and 401k with immediate matching and vesting We put family first and ease the transition back to work for primary caregivers with a 32hour work week at full pay for 12 weeks and two comfy nursing rooms Located in NW Portland near a Portland Streetcar stop our airy lightfilled office inhabits a repurposed industrial building and has a variety of workspaces for collaborating and working independently We encourage all employees to shape culture with their own ideas and provide professional development and management training Employees receive paid holidays volunteer time vacation and wellness leave We welcome dogs and emphasize community You can find us every Friday coming together for lunch and inspiration We aim to build an inclusive culture where differences are used to inform better creative strategic and business decisions We actively seek diversity of beliefs backgrounds education and ways of thinking We are an equal opportunity employer and value diversity at our company We do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status
Data Scientist, Austin TX, Applied Systems,$81.000,Job Description Make a Difference Every Day with Team Applied The people of Applied are making a difference every day through innovation and a commitment to help safeguard and protect what matters most With firsttomarket software mobile and data analytics solutions Applied is revolutionizing companies to strengthen their position as trusted advisors to clients across the world Our core values challenge employees to make a difference every day with excellence for customers and support for the communities around us We believe that success comes from a dynamic working environment that offers professionals an opportunity to grow and succeed alongside extraordinary people Learn how you can make a difference on Team Applied Job Summary Applied Systems Inc a worldwide leader in insurance technology is currently searching for a Data Scientist to join our IVANS Insurance Solutions Division In this role you will be part of a small fastpaced team comprised of individuals from world class technology and insurance industry firms tasked with the creation of highly innovative products to lead the industry in the digital world You will be relied upon to find innovative and creative ways to leverage some of the industry’s largest data resources to speed decisionmaking and growth for hundreds of thousands of insurance professionals and their clients Responsibilities include Design and implement data analysis data mining research analysis modeling strategies and best practices Use analytical expertise to spot key business insights trends and opportunities in our vast database Help interpret and communicate your findings in a way that is easily understood by those less familiar with data Collaborate with a dynamic Product and Development team in delivering data products and insights to clients Establish and maintain relationships with distributed crossfunctional teams to leverage domain and industry expertise Identify missing and inaccurate data in our platforms seek out supplements and replacements to improve our data sets to the greatest extent possible Advise teams and clients as a subject matter expert in data science Requirements Bachelor’s degree in a quantitative field such as Statistics Computer Science Economics or Mathematics or equivalent work experience Relevant successful professional industry experience Proficiency with database and analysis tools like R SQL Python and others Expertise in statistical modeling data collection aggregation analysis machine learning and productization Selfdriven passion for finding and collaboratively solving problems Strong understanding of the benefits and flaws in the application of various methods Corporate Profile Applied Systems is a leading provider of software that powers the business of insurance Recognized as a pioneer in agency management systems insurance organizations rely on the company’s software to manage their clients and policies in a consistent manner to minimize risk reduce operating expenses and drive sustainable growth and profitability Leading the industry in technology innovation Applied Systems has been at the forefront of data exchange between agencies brokers carriers and their clients Today the company has more than 1500 employees with customers throughout the United States Canada the United Kingdom and Ireland By automating the insurance lifecycle Applied Systems remains committed to help safeguard what matters most to millions of people around the world To learn more please visit wwwAppliedSystemscom Employees feel appreciated at Applied Systems In addition to a competitive benefits package that starts on the first day of employment we offer paid time off a flexible ”Dress for your Day” casual dress code and an open communication policy The resulting atmosphere is professional and conducive to productivity yet comfortable and fun Applied Systems welcomes and encourages applications from people with disabilities Accommodations are available on request for candidates taking part in all aspects of the selection process CB
Data Scientist, Atlanta GA, Rubicon Global,$116.000,Rubicon Global is looking for a Data Scientist to join their Data Analytics  Insights team The ideal candidate will have completed a Masters with 2 years of experience or completed a PhD program Other experience required Predictive Analytics Machine learning Experience with R or Python Candidates MUST have experience with Route Optimization software Either RouteSmart or ArcGIS Candidates without this experience will not meet the qualifications to be considered About Rubicon Global Rubicon Global is a technology company that provides waste recycling and smart city solutions to businesses and governments worldwide It develops and deploys a full suite of cloudbased solutions to help its customers and network of independent waste haulers work towards more sustainable waste and recycling practices uncover cost savings and improve operations through data analytics Using its proprietary technology platform Rubicon helps its partners find economic value in their waste streams and confidently execute on their sustainability goals always with an eye towards those solutions that have longterm economic viability The company has over 1000000 service locations worldwide is headquartered in Atlanta GA and has core teams in New York City and San Francisco Rubicon is a Certified B Corporation and was named a Great Place to Work in 2018 Learn more at wwwRubiconGlobalcom Rubicon Global is a Certified B Corp and an Equal Employment OpportunityAffirmative Action Employer We also maintain a DrugFree Workplace
Data Scientist, Atlanta GA, AnswerRocket,NA,Want to work in a casual fun startup environment AnswerRocket has been fundamentally changing the way organizations use data to make decisions every day Our software uses natural language data discovery and machine learning algorithms to enable business leaders to make better faster decisions We are seeking a Data Scientist who will serve as part of our technical team in developing analytics solutions to solve customer business problems and improve processes Responsibilities Leverage Big Data to discover patterns and solve strategic and tactical business problems using massive structured and unstructured data sets across multiple environments Understand customer business use cases and be able to translate them to analytical data applications and models with a vision on how to implement a solution Develop tools to analyze data accuracy and model performance Leverage machine learning natural language processing andor advanced statistical techniques Research industry topics impacting opportunities relevant for data analysis projects Coordinate across teams product management engineering etc timely and effectively Requirements Strong knowledgeexperience with data science pipeline and analytics tools such as Python R matlab octane clojure tensorflow keras or other AI frameworks Indepth understanding of data scrubbing database management statistics and machine learning Organized and capable of independently managing complex analytical projects from start to finish Excellent interpersonal written and oral communication skills Strong outofthebox thinking and a curious mind Ability to clearly communicate complex results to technical and nontechnical audiences At least 3 years of overall analytics experience Degree in Computer Science Mathematics Statistics or another quantitative field Ability to work fulltime onsite in our Sandy Springs office Extra Awesome Advanced degree in Computer Science Mathematics Statistics or another quantitative field 4 years of experience in consulting with emphasis on specializing in forecasting linear programming or machine learning What We Offer Competitive salary and health benefits Paid company holidays and up to 15 days of PTO Complimentary perks such as an onsite gym free snacks and monthly catered lunches About AnswerRocket Founded by successful technology entrepreneurs in 2013 our offices are located in metro Atlanta and include a fun work environment with the dynamic vibe for growth Customers love what we are doing and Gartner has recently named us a Cool Vendor in analytics Our team consists of smart and creative people who are motivated by clear goals to deliver “a ha” moments to our customers We are breaking away from tired traditional software and are committed to delivering high quality wellengineered solutions that fit into modern enterprises AnswerRocket offers the opportunity to grow immensely both personally and professionally as we leverage the latest technology to change how companies use big data All qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin age disability protected veteran status or any other legally protected basis in accordance with applicable law We are an Equal Opportunity Employer
Data Scientist, Mountain View CA, Shape Security,$129.000,Shape Security is looking for individuals who are capable of and interested in leveraging large amounts of complex data to develop robust statistical models Job Duties Analyze data covering a wide range of information from logs real time events and historical data feeds Collaborate with other research scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques Apply established statistical techniques to security problems Work well with peers across organization and potentially across the company Qualifications Minimum of 3 years within the cyber security or related industry nice to have Preferably PhD in statistics computer science or similar field or MS with a couple of years of related experience Deep knowledge of machine learning data mining statistics and related field Expert level knowledge of one of the scripting languages such as Python and statistical languages such as R Experience working with large data sets and distributed computing tools a plus MapReduce Hadoop Hive Spark etc Strong communication skills both written and verbal Experience in web security or anomaly detection is a plus
Data Scientist, San Francisco CA, Flexport,$154.000,Global problems Global impact Flexports mission is to make global trade easy for everyone We are remaking a trillion dollar industry that touches every person on Earth which means solving some of the global communitys most complex challenges We are looking for makers who love learning are passionate about collaborating and desire to build solutions with a global impact Fast accurate insights are integral in allowing us to fulfill our mission of fixing the user experience in global trade At Flexport youll conduct analyses that are at the forefront of reshaping the entire logistics  supply chain industries Youll work alongside selfstarters interested in solving realworld problems and streamlining the inefficiencies in the complex global trade industry Youll have the opportunity to improve an industry by analyzing the new operating system for global trade What youll do Own the analytic lifecycle for product development  consult with product managers on the best metrics to use for measuring new feature success how to instrument them and finally how to run experiments to get feedback on those initiatives Move the needle by making Flexport more productive your output will help shape the path of decisions at every level every day across the entire organization Do research on our own data to discover trends in the global freight market and help turn those insights into impact Contribute and grow the culture of excellence on our team by bringing processes and best practices to our group What youll need 35 years experience in a Data Scientist Data Analyst or similar role doing AB testing for Product Development Exceptional analytic ability intrinsic understanding of how to craft a metric and the inherit tradeoffs to different approaches Bias for valuecreation making due with the data available to give the best recommendation to the business Next level communication skills and empathy to understand and discover business pain points specify solutions and build analyses towards understandable results Ability to think organizationally we are growing fast and always need to understand where our data came from where it will be going and the processes required to interpret understand improve and action it Experience in a fastpaced work environment  a bias for action You can quickly create insight with impeccable accuracy A valuefirst approach to doing analytics You care about the actionable nature of your analyses What youll get The opportunity to define the culture on a small team but growing engineering team To be a thought leader on an impactful  innovative data science team Meaningful equity in a startup growing their business 20 every month Analytic ownership discover the highest valueadd projects and see them through from ideation to impact Culture  Values Learn more at wwwkeyvaluescomflexport
